Id_Date,Date,Ticker,Volume,Retorno
20131209,2013-12-09,TSLA,135922500,0.03086774225799195
20131210,2013-12-10,TSLA,161223000,0.004166667929476993
20131211,2013-12-11,TSLA,107067000,-0.017863335493336335
20131212,2013-12-12,TSLA,161517000,0.0559970695259276
20131213,2013-12-13,TSLA,158878500,0.0012205957958657083
20131216,2013-12-16,TSLA,100129500,0.001964155732272194
20131217,2013-12-17,TSLA,157425000,0.030552838415448983
20131218,2013-12-18,TSLA,173728500,-0.029384786210491808
20131219,2013-12-19,TSLA,191100000,-0.049060611717221946
20131220,2013-12-20,TSLA,111189000,0.017907824110929293
20131223,2013-12-23,TSLA,80782500,0.0021642429828383552
20131224,2013-12-24,TSLA,149122500,0.05475446024622935
20131226,2013-12-26,TSLA,106942500,0.027012773416087148
20131227,2013-12-27,TSLA,81903000,-0.02816718456394423
20131230,2013-12-30,TSLA,67012500,0.008734809572158567
20131231,2013-12-31,TSLA,63936000,-0.013185497557367082
20140102,2014-01-02,TSLA,92826000,-0.002193742380527624
20140103,2014-01-03,TSLA,70425000,-0.0035976265900143824
20140106,2014-01-06,TSLA,80416500,-0.017116878600310168
20140107,2014-01-07,TSLA,75511500,0.016054328294591937
20140108,2014-01-08,TSLA,92448000,0.01285487433220126
20140109,2014-01-09,TSLA,80730000,-0.024788472845717516
20140110,2014-01-10,TSLA,111691500,-0.012268578178381773
20140113,2014-01-13,TSLA,94741500,-0.04378266004631393
20140114,2014-01-14,TSLA,414105000,0.15738480245307976
20140115,2014-01-15,TSLA,306984000,0.01773427985229195
20140116,2014-01-16,TSLA,179391000,0.04167422392380228
20140117,2014-01-17,TSLA,138093000,-0.0056150316746556485
20140121,2014-01-21,TSLA,146020500,0.03923308898268005
20140122,2014-01-22,TSLA,105339000,0.010640663119913903
20140123,2014-01-23,TSLA,118011000,0.016465061704825788
20140124,2014-01-24,TSLA,114964500,-0.03801653087973694
20140127,2014-01-27,TSLA,130746000,-0.028522398851330455
20140128,2014-01-28,TSLA,91401000,0.05164490692946293
20140129,2014-01-29,TSLA,89032500,-0.017658933286585222
20140130,2014-01-30,TSLA,128475000,0.04342859055477117
20140131,2014-01-31,TSLA,97632000,-0.007821026766776394
20140203,2014-02-03,TSLA,101473500,-0.023703230806377616
20140204,2014-02-04,TSLA,70294500,0.009146841348834001
20140205,2014-02-05,TSLA,109020000,-0.024114520320419216
